,fips,CFR,popdensity,percminor,percold,CCVI
168,12039,0.013157895,88.9,0.573844075,0.323353815,10
169,12043,0.00862069,17,0.198994462,0.404182454,10
170,12047,0.007352941,27.9,0.349685535,0.313556953,10
172,12051,0.030769231,36,0.153575898,0.247401097,10
173,12053,0.035460993,403.9,0.081775077,0.420506641,6
174,12055,0.052325581,103.7,0.129790181,0.486615951,9
175,12057,0.025875588,1408.4,0.232349355,0.263100534,6
176,12061,0.055555556,313,0.116959844,0.486319427,3
177,12063,0.003125,52.6,0.289887175,0.328268295,10
178,12069,0.033195021,379.9,0.146481718,0.403784064,7
179,12071,0.045897079,961.9,0.116295835,0.426707836,7
180,12073,0.016913319,438.6,0.361508639,0.24215219,2
181,12075,0.00990099,36.5,0.110473387,0.406916851,10
182,12077,0.004545455,10.1,0.213550905,0.268534941,9
183,12081,0.080928923,531.5,0.121743425,0.421600334,4
184,12083,0.025396825,227.2,0.16108807,0.426660592,7
185,12085,0.014778325,296.1,0.084835189,0.466037337,5
186,12086,0.037213912,1455.2,0.20202413,0.287085912,9
187,12087,0.030769231,76.3,0.090607381,0.396044091,8
188,12091,0.017857143,222.8,0.150061032,0.294366258,4
190,12095,0.013715331,1528.2,0.296304264,0.231469349,6
191,12097,0.024764151,277.2,0.181643523,0.239737493,9
192,12099,0.047597914,754.4,0.236615047,0.3720215,4
193,12101,0.027624309,722.5,0.09924022,0.361247521,6
194,12103,0.042695689,3562,0.153413379,0.408400664,5
195,12105,0.049701789,393.8,0.190489104,0.324915361,9
196,12107,0.031413613,101.9,0.180103286,0.386082009,9
197,12113,0.030716724,177.3,0.099063836,0.298880953,5
198,12115,0.116666667,767.7,0.070526671,0.522973017,2
199,12117,0.016455696,1512.9,0.186156569,0.285078832,7
200,12109,0.019047619,423.3,0.092707887,0.345467846,2
201,12111,0.03887689,561.5,0.240159687,0.381744974,8
202,12119,0.063670412,235.4,0.09023409,0.714882644,4
203,12121,0.09,64.2,0.144214885,0.355343848,10
204,12127,0.050739958,497.3,0.141166458,0.397393423,5
205,12131,0.06,68.8,0.077660245,0.362591944,6
206,13001,0.06372549,36.5,0.213216621,0.307559302,10
207,13005,0.016949153,43.3,0.180062584,0.282431828,10
208,13009,0.074592075,173.8,0.448452803,0.288579524,7
209,13011,0.009174312,81.8,0.048820308,0.311407205,7
210,13013,0.059278351,504.1,0.172035293,0.23997327,6
211,13015,0.071167883,231.6,0.131907375,0.2708349,7
212,13017,0.00952381,67.1,0.378090189,0.309823077,8
213,13021,0.066420664,613,0.584375714,0.281446161,8
214,13031,0.027777778,114.9,0.316833989,0.216828814,5
215,13033,0.047619048,27.1,0.486732373,0.298443562,9
216,13035,0.130612245,131.2,0.298433431,0.285247799,8
217,13037,0.040540541,22.7,0.627046599,0.285579345,10
218,13045,0.060260586,236.7,0.213611466,0.252800095,9
220,13051,0.048742138,678.2,0.44781203,0.274990923,6
222,13057,0.036538462,602.7,0.102420234,0.266351628,4
223,13059,0.043103448,1068.2,0.33508207,0.19971727,3
224,13063,0.05,2045.7,0.786337034,0.203563351,10
225,13067,0.059977888,2229,0.351704729,0.244438572,3
226,13069,0.040462428,74.9,0.301858771,0.252430789,10
227,13071,0.025036819,83.8,0.261251974,0.269499035,10
228,13073,0.026578073,531.9,0.235911362,0.255264403,3
229,13077,0.023300971,330.8,0.21314375,0.2672558,4
230,13081,0.041322314,82.9,0.465510376,0.323879474,10
231,13085,0.025210084,119,0.024478731,0.344017861,3
232,13089,0.033983927,2827.4,0.625075672,0.242051502,6
233,13087,0.035714286,44.5,0.44349953,0.292568203,10
234,13093,0.062827225,35,0.511965563,0.352984095,10
235,13095,0.081566069,277.6,0.726861239,0.27403746,8
236,13097,0.042424242,726.4,0.51165271,0.235118454,7
237,13099,0.121568627,20,0.528056992,0.321459939,10
239,13113,0.057471264,583.8,0.305537683,0.332243365,2
240,13115,0.040431267,192,0.177550624,0.293197994,7
241,13117,0.02173913,1056.2,0.193840549,0.228830321,1
242,13119,0.007142857,88,0.116275029,0.328019806,10
243,13121,0.056234245,1994,0.527683661,0.230068354,5
244,13123,0.005882353,72.2,0.033261942,0.408326843,9
245,13127,0.015789474,203,0.29412455,0.34216548,7
246,13129,0.0703125,162.1,0.066932478,0.272913236,8
247,13131,0.028776978,54.4,0.320672378,0.316308389,10
248,13135,0.029201206,2155.7,0.431140539,0.216396973,4
249,13137,0.052013423,164,0.079095796,0.308583767,7
250,13139,0.019963702,514.7,0.113179453,0.26658191,4
251,13141,0.148514851,17.7,0.728557738,0.385721131,10
252,13145,0.02955665,74.3,0.186744017,0.339173314,5
253,13151,0.035211268,714.7,0.509569108,0.237968031,5
254,13153,0.044843049,414,0.365378307,0.250879597,8
255,13157,0.026717557,207.3,0.098988952,0.263284201,8
256,13175,0.008474576,58.6,0.389519282,0.304701532,6
257,13177,0.058823529,83.7,0.254636474,0.247345787,8
258,13185,0.006144393,234.5,0.400684313,0.224645593,5
259,13187,0.009345794,116.5,0.035381581,0.310241238,5
260,13193,0.068965517,32.8,0.625960587,0.317355246,10
261,13199,0.023622047,42,0.402696032,0.354803493,10
262,13205,0.085648148,43.3,0.498377794,0.294385364,10
263,13207,0.106870229,69.6,0.243204942,0.337609012,9
264,13213,0.006993007,115.9,0.032013226,0.2755442,7
265,13215,0.02739726,897.3,0.518304491,0.250808611,7
266,13217,0.026190476,402.5,0.486858802,0.246884728,9
267,13219,0.069230769,213.1,0.099740273,0.279486657,2
268,13223,0.031862745,525.4,0.227944942,0.220190924,3
269,13229,0.030534351,61.3,0.10505957,0.296250451,8
270,13233,0.006060606,136.9,0.146833059,0.280221333,9
271,13237,0.107142857,63.3,0.282589757,0.399697373,6
272,13243,0.115183246,16,0.623152349,0.395580272,10
273,13245,0.055718475,621.4,0.60073231,0.265497088,5
274,13247,0.026086957,698,0.600039738,0.282380732,8
275,13255,0.075709779,336.4,0.365007564,0.307049924,9
276,13257,0.032679739,145.3,0.127328596,0.330055694,7
277,13261,0.09765625,61.6,0.55510712,0.287357482,10
278,13273,0.119266055,25.7,0.617582162,0.341539891,10
279,13275,0.090659341,81.6,0.380444564,0.318642009,9
280,13277,0.052009456,156.7,0.329619679,0.267506347,7
281,13279,0.037037037,73.9,0.284821661,0.286011827,10
282,13285,0.029040404,169.2,0.395222321,0.273767027,9
283,13287,0.091503268,27.7,0.424418605,0.317239636,10
284,13293,0.13559322,81.1,0.298340645,0.329467862,7
285,13295,0.008888889,155.5,0.057426884,0.325961677,6
286,13297,0.070336391,287.1,0.207501364,0.279787814,6
287,13299,0.048951049,40,0.318273543,0.299607623,7
288,13311,0.032258065,124.5,0.034234234,0.376576577,5
289,13313,0.01618123,358.3,0.07733851,0.255674502,7
290,13315,0.118644068,23.3,0.363822061,0.299818429,10
291,13321,0.080769231,35.6,0.294349475,0.337257993,9
292,6600,0.005194805,NA,NA,NA,NA
293,15003,0.021956088,1631.5,0.614850829,0.296378867,5
294,15009,0.05,144,0.481415252,0.325004336,3
295,16001,0.024043716,446.5,0.053574088,0.264714894,1
296,16013,0.009708738,8.5,0.038538118,0.348081943,4
297,16027,0.016666667,380.5,0.040778706,0.244694607,3
298,16031,0.006993007,9.3,0.038132752,0.25284948,4
299,16053,0.014423077,40.2,0.039058922,0.24418072,6
302,16083,0.053830228,44.8,0.04199533,0.267852372,2
303,17007,0.036190476,190.9,0.053474439,0.287324785,8
304,17019,0.012211669,210.8,0.253382417,0.233518904,6
305,17027,0.079812207,79.4,0.047424214,0.318074338,7
306,17029,0.118881119,100.1,0.056519603,0.300599391,5
307,17031,0.04937547,5480.1,0.32811742,0.269687846,8
308,17037,0.029469548,165,0.115543051,0.237759619,5
309,17043,0.050915535,2835.4,0.184773888,0.295172568,2
310,17063,0.015503876,121.9,0.031527113,0.268245311,5
311,17075,0.036231884,24.7,0.021409941,0.369946385,7
312,17077,0.041009464,98.3,0.198871454,0.270781449,7
313,17081,0.153846154,66.2,0.106213644,0.325145426,7
314,17089,0.03261324,1027.2,0.115998023,0.262318987,3
315,17091,0.049674267,162.6,0.166845416,0.300389006,5
316,17093,0.024149286,399.3,0.116569597,0.203424149,2
318,17099,0.08839779,96.4,0.042675683,0.339541259,6
319,17097,0.0411049,1579.6,0.168934923,0.278898509,7
320,17115,0.100478469,180.3,0.191830927,0.341871037,6
321,17119,0.090040928,369.6,0.10334227,0.316095757,4
322,17109,0.145631068,50.8,0.084927391,0.297212485,3
323,17111,0.045797414,511.6,0.05334284,0.291574035,2
324,17113,0.053941909,146,0.140665864,0.247569838,5
325,17133,0.107142857,89.2,0.013979904,0.335372069,4
326,17137,0.018867925,59.7,0.082911467,0.341829527,6
327,17141,0.017094017,67.1,0.02450759,0.335388724,5
328,17143,0.050632911,291.7,0.234180965,0.298376158,3
329,17157,0.025179856,55.8,0.114651467,0.329720302,8
330,17161,0.035805627,335.5,0.145800372,0.331021697,4
331,17167,0.08616188,225,0.155169236,0.320760898,3
332,17163,0.077617329,396.9,0.328312757,0.297695157,7
333,17177,0.021645022,79.3,0.114226979,0.380466114,5
334,17181,0.097701149,40.7,0.025948578,0.36060804,7
336,17195,0.09202454,81.3,0.02951857,0.356991335,6
337,17197,0.049041897,827.2,0.187368375,0.256575811,3
338,17201,0.030641673,553.4,0.172559939,0.312160968,6
339,18003,0.042095835,571,0.171354279,0.26949442,4
340,18005,0.078711986,203.4,0.108382778,0.286587797,3
341,18011,0.101485149,158.4,0.054553053,0.261914357,2
342,18015,0.01980198,54.1,0.014358821,0.347244994,5
343,18017,0.00621504,92.1,0.057014886,0.317850086,7
344,18019,0.085069444,314.8,0.098781527,0.292442059,6
345,18023,0.007604563,79.6,0.017736434,0.298883721,8
346,18027,0.144,77.2,0.032763146,0.275439708,7
347,18033,0.032786885,119.1,0.01445889,0.299403137,4
348,18029,0.127777778,162.5,0.014707069,0.327126372,3
349,18031,0.138888889,71.9,0.022728969,0.3059267,7
350,18035,0.111386139,292.7,0.09050988,0.291569372,3
351,18037,0.01659751,99.6,0.02079173,0.321907671,1
352,18039,0.01626751,443.8,0.081343647,0.26507589,5
353,18041,0.053846154,107.2,0.022128694,0.34299475,4
354,18043,0.130563798,525.8,0.071958447,0.304290251,2
355,18047,0.070866142,59.1,0.017329346,0.331852569,4
356,18053,0.082066869,159.2,0.088009585,0.332094759,5
357,18055,0.172043011,59,0.01093545,0.343310629,4
358,18057,0.073722628,837.2,0.110022843,0.240410075,1
359,18059,0.076923077,249.5,0.042029574,0.299642441,2
360,18061,0.12,83.3,0.015935564,0.326517968,7
361,18063,0.081664099,410.4,0.109107892,0.262578663,1
362,18065,0.067307692,123.2,0.034119865,0.331234074,4
363,18067,0.100628931,281.1,0.095427725,0.334640507,2
364,18071,0.007092199,86.6,0.042801115,0.295277822,4
365,18079,0.041666667,73.3,0.015501068,0.305385535,5
366,18081,0.101666667,487.5,0.063863018,0.267261962,4
367,18085,0.009584665,149.3,0.0331342,0.304383444,5
368,18087,0.007194245,103.6,0.013475718,0.246046275,5
369,18091,0.050955414,183.9,0.128019126,0.318879708,4
370,18089,0.058236273,970.8,0.27016934,0.303711105,6
371,18093,0.136612022,101.7,0.017824297,0.344333012,6
372,18095,0.113782051,286.9,0.097260897,0.316497096,4
373,18097,0.063915635,2409,0.333211476,0.246130076,4
374,18099,0.009836066,104.2,0.020952257,0.315451479,6
375,18103,0.005780347,95.1,0.065650744,0.310906177,5
376,18105,0.105263158,372.4,0.111620847,0.234751594,4
377,18107,0.074626866,76,0.024696187,0.3209722,6
378,18109,0.100649351,173.6,0.01536026,0.320825489,4
379,18113,0.08259587,115.7,0.020954304,0.299082723,8
380,18117,0.186567164,48.9,0.023654369,0.34516907,5
381,18123,0.019417476,50,0.037692388,0.332373573,4
382,18127,0.060200669,405.6,0.061930257,0.305629916,3
383,18133,0.049689441,78.6,0.05331004,0.297784483,3
384,18137,0.055045872,63.9,0.019177506,0.317603338,7
385,18143,0.020689655,125.4,0.019850909,0.309657425,7
386,18145,0.050083472,108.5,0.02769493,0.319982957,6
387,18141,0.035233824,591.4,0.172163932,0.285104387,3
