fips,popdensity,percminor,percold,CCVI
53005,118.7,0.067759081,0.271858607,7
26019,55.5,0.028220582,0.43525038,5
34003,4020,0.250613862,0.313547036,1
45015,201.2,0.282892565,0.260788544,7
54003,364.7,0.092603502,0.278911913,5
42011,490.5,0.100485063,0.308685904,3
25003,136.3,0.057769019,0.395051762,2
35001,584.7,0.129905511,0.293915878,3
13019,42.6,0.128038645,0.30692915,8
26021,271.5,0.180120798,0.343918879,6
37015,27.2,0.630610743,0.390991275,10
2050,0.4,0.864075538,0.178908652,8
48029,1601.9,0.135382863,0.226829751,4
1007,36,0.221875,0.2940625,9
13021,613,0.584375714,0.281446161,8
22013,16.4,0.428238653,0.35467388,10
30003,2.7,0.671464987,0.242840006,5
56003,3.8,0.02777544,0.347866341,2
27011,10,0.014231309,0.4339547,2
16011,22.1,0.093585085,0.260792456,3
19013,234,0.130686968,0.28588907,2
18009,72.3,0.015423303,0.361944677,8
37017,38,0.378366978,0.370924977,10
16013,8.5,0.038538118,0.348081943,4
40011,10.2,0.146020032,0.342540854,5
42013,233,0.029863175,0.354227215,4
48031,16.5,0.042385917,0.428046488,7
13023,59.5,0.280651192,0.29887833,8
47007,36.3,0.080786174,0.338935954,9
1009,89.7,0.0281639,0.314280775,8
47009,235.1,0.045420978,0.346633777,5
27013,90.2,0.071855488,0.246978213,1
28011,35.7,0.65292184,0.281715763,9
29017,19.7,0.017174788,0.362807133,7
46009,12.4,0.104011461,0.338681948,1
17005,43.7,0.078292243,0.332832231,3
16017,25.8,0.021642408,0.419232231,2
16019,62.6,0.034068153,0.240077361,1
5009,63.5,0.021824973,0.342369264,3
17007,190.9,0.053474439,0.287324785,8
18011,158.4,0.054553053,0.261914357,2
19015,46.1,0.022811812,0.339292492,4
21015,533.9,0.067047813,0.260155246,3
29019,262.6,0.157412294,0.230788034,3
31011,7.6,0.011452567,0.391296049,1
54005,43.8,0.010432327,0.350006833,4
48035,19,0.037290675,0.39810604,8
22015,151.4,0.259071431,0.261831191,6
51023,61.5,0.044986026,0.391321333,2
38009,3.8,0.047106536,0.397909842,1
8013,449,0.071761971,0.268475641,1
20011,23.1,0.054732819,0.330444278,8
21017,69.7,0.070798652,0.328973444,8
48037,106.6,0.281200967,0.290180654,5
38011,2.6,0.032184655,0.373862159,1
31013,10,0.064240624,0.343483104,2
49003,9.6,0.029372157,0.238962693,2
21019,295.5,0.039394581,0.339648603,5
21021,167.1,0.094584718,0.319435216,4
21023,40.1,0.012744265,0.316057774,8
12007,94.3,0.214301168,0.310832252,10
42015,53,0.018263114,0.367908865,3
5011,16.8,0.298155456,0.324584748,10
47011,324.6,0.071987407,0.30040196,6
26023,86.1,0.036816285,0.327197286,6
13025,42.7,0.045668625,0.301741017,6
54007,27.6,0.014337426,0.379728866,5
48039,272.7,0.227833603,0.233333333,6
48041,387.3,0.185082775,0.174939804,2
21025,25.8,0.015244382,0.324296715,8
21027,35.9,0.030213851,0.345252109,10
19017,57.3,0.025534132,0.321802221,1
12009,587.6,0.142195095,0.400712743,5
48043,1.5,0.0507176,0.371857127,7
48045,1.7,0.048812665,0.394459103,8
25005,1019.7,0.091476928,0.309821248,5
44001,2013.6,0.042097474,0.353635224,1
51520,1266.9,0.079844679,0.346317195,8
30007,5.1,0.02695152,0.407395234,1
54009,248.9,0.022429401,0.395126785,2
46011,44.5,0.059576521,0.214634423,1
13027,31.5,0.36820731,0.352091794,10
48047,7.5,0.027973011,0.298003936,10
36007,271.6,0.112204488,0.333999447,5
8014,2097.1,0.093204556,0.255027647,1
12011,1612.9,0.350538114,0.300336193,7
17009,21.5,0.206528371,0.253813301,5
18013,48.8,0.019102009,0.418209269,2
20013,16.8,0.115961659,0.353511148,3
27015,41.1,0.017323086,0.359483892,1
39015,89,0.016902894,0.330397688,5
46013,23,0.095075796,0.303413369,2
48049,40.2,0.059118236,0.335882291,2
55009,497.2,0.099347706,0.280752379,1
37019,161.5,0.121943193,0.496577546,8
51025,28.9,0.565185547,0.362182617,10
13029,87.4,0.180508541,0.209031987,5
40013,52.2,0.175474657,0.298143753,5
19019,37.1,0.014717675,0.316335676,3
29021,217.1,0.088674623,0.294419167,6
51027,42.2,0.037651383,0.384571886,6
51029,29.3,0.349079358,0.341784811,10
42017,1039.5,0.099777935,0.345040951,2
19021,34.6,0.157643152,0.289976854,5
51530,930.9,0.081770082,0.322270322,5
31019,51.2,0.038435957,0.258833014,2
46017,4.3,0.81827112,0.169941061,10
55011,19.5,0.015390476,0.380952381,3
21029,272.9,0.024201606,0.295772737,5
13031,114.9,0.316833989,0.216828814,5
1011,16.3,0.72647465,0.304892484,10
37021,394.6,0.085568288,0.338402103,3
17011,38,0.025975207,0.366017034,3
13033,27.1,0.486732373,0.298443562,9
37023,178.2,0.123730389,0.352492753,9
38013,1.9,0.024761905,0.366190476,1
38015,58.4,0.076034133,0.290586,1
48051,27.9,0.145195497,0.361357333,8
34005,557.7,0.244249906,0.316250696,2
48053,47.8,0.044129401,0.376719532,5
55013,18.7,0.061460499,0.471933472,4
31021,13.2,0.0351418,0.391646116,3
1013,25.3,0.467428862,0.345325203,9
19023,25.1,0.014925373,0.368250911,5
20015,46.7,0.047944282,0.289268329,4
21031,30,0.014171625,0.331271531,9
29023,61.4,0.072773752,0.32446821,8
31023,13.8,0.016381236,0.361007694,2
39017,818.7,0.131364775,0.277089686,6
42019,238.3,0.030337222,0.342219833,4
6007,141.3,0.098146643,0.312800533,5
13035,131.2,0.298433431,0.285247799,8
37025,584.2,0.24425339,0.249240567,6
54011,331.7,0.065551789,0.312215738,4
49005,109.1,0.053412346,0.170223817,1
22017,276.5,0.518652078,0.304406353,6
40015,22.7,0.296338475,0.295268661,10
6009,44.7,0.052431911,0.459365817,5
22019,191,0.279254795,0.276413998,5
21033,36.9,0.06331105,0.348643335,9
22021,18.8,0.16997992,0.31184739,9
29025,21.4,0.018006148,0.341567852,10
37027,173.9,0.065866949,0.34712114,9
48055,79.3,0.093486253,0.266330613,10
50005,46.7,0.024288826,0.367731503,1
1015,188.6,0.229136222,0.316817907,8
12013,25.7,0.156577775,0.310824707,10
13037,22.7,0.627046599,0.285579345,10
17013,18.9,0.010204082,0.390254061,7
19025,17,0.03082792,0.380554696,4
26025,190.4,0.151910594,0.31658822,7
28013,24.6,0.29156276,0.32820726,10
45017,38.1,0.417975207,0.395523416,9
48057,42.5,0.096284959,0.311256435,10
54013,26,0.009649848,0.410394265,4
48059,15.6,0.034157496,0.359654137,6
29027,53.8,0.060014703,0.301432422,4
21035,101.6,0.064622461,0.288667433,3
55015,157.6,0.03871688,0.295181323,1
24009,431.6,0.158755693,0.30024021,1
16025,1,0.023957409,0.392191659,1
42021,191.4,0.044902452,0.379943824,5
13039,87.6,0.21916277,0.252901615,6
29029,69.8,0.021390374,0.461246317,2
34007,2291.8,0.287103759,0.291779568,4
37029,44.5,0.150793651,0.312044818,7
22023,5.4,0.053817451,0.321469575,3
42023,11.3,0.018699911,0.454363313,8
48061,475.8,0.024201006,0.232842975,10
48063,66.6,0.189135272,0.313051485,10
21037,615.6,0.043831587,0.298211525,2
47013,82.4,0.013541167,0.346891342,6
51031,109.1,0.162516144,0.347043094,6
56005,9.6,0.030407456,0.240788903,2
40017,161.1,0.121352468,0.247765616,3
13043,44.6,0.265319306,0.310908084,10
47015,54.4,0.027174665,0.325404508,7
16027,380.5,0.040778706,0.244694607,3
29031,136.1,0.101139004,0.293969754,2
34009,368.1,0.064952463,0.433869922,3
30009,5.2,0.023613963,0.444931865,1
42025,168.4,0.033537297,0.372911704,6
49007,13.7,0.032808723,0.306576545,4
56007,1.9,0.041480195,0.315810567,2
16029,4,0.015580737,0.298583569,1
21039,25.2,0.025571159,0.353385035,7
27017,41.6,0.083154282,0.317520998,2
24011,104.3,0.167697574,0.307140283,5
51033,58.3,0.296600806,0.303457689,7
5015,44.8,0.048506537,0.379548595,9
13045,236.7,0.213611466,0.252800095,9
17015,32.2,0.021939631,0.413289547,7
18015,54.1,0.014358821,0.347244994,5
19027,35.4,0.022079984,0.348466806,2
21041,83.5,0.032876967,0.28928006,10
24013,376.3,0.063017651,0.318911826,1
28015,15.8,0.335384926,0.396630007,9
29033,12.6,0.024362347,0.355713142,8
33003,52.4,0.017876545,0.468398286,2
39019,68.6,0.015915217,0.374838448,6
47017,46.8,0.113133476,0.340328337,9
51035,62.4,0.014475638,0.402922122,8
48065,6.5,0.033305579,0.33988343,3
32510,383.1,0.08275887,0.34881077,5
21043,65.9,0.012590727,0.325507332,8
29035,11.9,0.018169805,0.351337958,8
40019,58.6,0.192560766,0.299271437,6
47019,165.2,0.023797271,0.367162961,7
37031,137.3,0.080619642,0.417870088,7
27019,292.2,0.058425317,0.253536905,1
30013,30.3,0.07881876,0.32055412,1
21045,35.8,0.01831571,0.333396274,10
17017,32.6,0.063213703,0.313050571,8
18017,92.1,0.057014886,0.317850086,7
19029,22.9,0.018252127,0.38546017,2
26027,105.4,0.074497125,0.367142276,6
27021,14.6,0.135336563,0.428876317,6
29037,150.6,0.061102959,0.308134992,4
31025,46.9,0.019190336,0.327841278,1
38017,102.8,0.11575839,0.223842526,1
48067,32.1,0.182442976,0.363458282,8
16031,9.3,0.038132752,0.25284948,4
48069,8.6,0.0530985,0.284409654,9
37033,53.4,0.338576086,0.374570447,10
22025,13.6,0.313696919,0.315986678,9
37035,397.9,0.141933288,0.318073519,8
13047,415.8,0.049762682,0.307178879,3
35003,0.5,0.051425377,0.621017328,4
36009,58.7,0.061309214,0.343688183,8
36011,111.5,0.05791691,0.346101497,6
24015,297,0.092923969,0.305768969,2
19031,32.1,0.016481452,0.352123262,3
29039,29.9,0.018284504,0.37592658,8
31027,11.4,0.012195122,0.373668009,1
42027,146.7,0.107797672,0.256337336,2
19033,75,0.035875912,0.375290173,2
8015,19.8,0.044090478,0.420532281,1
1017,56.4,0.41773018,0.342466161,10
48071,71.1,0.110613841,0.229848778,8
17019,210.8,0.253382417,0.233518904,6
39021,90.4,0.032022501,0.32690819,6
29041,9.9,0.031673601,0.395920011,7
24017,352.8,0.541432667,0.258019975,2
51036,38,0.532776257,0.435095808,7
46023,8.5,0.330798886,0.314842579,7
45019,443.1,0.293029157,0.295689878,1
26029,63,0.028235025,0.416819082,5
12015,271.9,0.080303571,0.574227829,6
51037,25.1,0.289328196,0.38306249,10
51540,4698.9,0.26689112,0.216493131,1
13049,16.8,0.329888957,0.286937076,9
20017,3.4,0.023583111,0.397109167,7
13051,678.2,0.44781203,0.274990923,6
37037,107.2,0.162840619,0.393661384,6
13053,43,0.261886934,0.090041183,3
13055,79.1,0.114400968,0.311657927,9
20019,5.2,0.073436083,0.429434875,8
36013,120.7,0.043145562,0.352847842,8
35005,10.7,0.062282614,0.281423426,6
47021,133.7,0.031504241,0.299117189,5
26031,35.5,0.042143785,0.449927203,7
53007,26.4,0.047003998,0.331156862,4
36015,206.8,0.08570513,0.336316377,5
36017,53.2,0.022130596,0.36471306,8
1019,47,0.053895206,0.387215734,6
13057,602.7,0.102420234,0.266351628,4
19035,19.6,0.02429114,0.403321261,4
20021,34.1,0.059255558,0.340444667,5
37039,62.3,0.041257091,0.460240285,7
40021,65,0.389830508,0.287971238,6
45021,145.4,0.220119836,0.298433722,6
48073,49.9,0.169436416,0.297973076,9
31031,1,0.0748134,0.36295782,2
51550,712,0.351442914,0.264740308,3
33005,108.2,0.029715137,0.355339704,1
42029,695.6,0.12612107,0.304231811,2
45023,55.5,0.382313727,0.332764876,6
47023,60.5,0.108532068,0.295901829,7
45025,57.3,0.344254054,0.326004284,9
51041,823.4,0.290696473,0.281808375,1
8017,1.1,0.031449893,0.354477612,5
20023,2.6,0.028947368,0.419548872,5
31033,7.8,0.028141783,0.338990333,2
19037,23.7,0.013958542,0.365095286,5
28017,34.2,0.455768447,0.29969134,9
5017,16.2,0.556428435,0.357252347,10
48075,10.5,0.125771499,0.256480593,7
1021,63.7,0.116911648,0.301112042,9
26033,24.1,0.240637578,0.317349468,5
27023,20.5,0.046796377,0.354327407,3
55017,63.6,0.039572776,0.328089187,1
27025,134.8,0.034726941,0.301312542,1
50007,306.7,0.07678706,0.281323676,1
1023,14.1,0.421540378,0.38665213,10
28019,19.8,0.309132641,0.357695095,8
40023,19,0.298950095,0.352877011,10
37041,81.3,0.360966569,0.405588424,10
17021,46,0.026361716,0.3465295,4
21047,99.9,0.250296494,0.212749927,5
29043,154.6,0.024602509,0.283400205,3
32001,5,0.117839607,0.32888707,5
35006,5.9,0.46175129,0.293314888,10
40025,1.2,0.023687877,0.37854157,6
12017,254.3,0.054377438,0.525833339,6
41005,222.5,0.074217389,0.321228144,1
22027,21.1,0.530293527,0.328838435,8
28021,18.5,0.873694735,0.281159742,10
47025,73.1,0.023334173,0.34258093,8
53009,44.1,0.091650703,0.459048438,3
26035,54.5,0.019800371,0.405826316,9
45027,55.5,0.489139466,0.384688427,10
42031,64.5,0.024136775,0.338456381,5
5019,25.5,0.259235755,0.282852092,10
17023,31.1,0.012695563,0.344511413,8
18019,314.8,0.098781527,0.292442059,6
20025,2.1,0.031421446,0.351122195,6
21049,143.6,0.058263676,0.318491545,6
29045,13.6,0.011692488,0.362320959,8
32003,282.8,0.260377649,0.265655814,7
39023,338.6,0.102730616,0.332979158,7
46025,3.9,0.031291789,0.360791656,7
53011,766.1,0.095567772,0.282608741,6
55019,28.7,0.019908381,0.304416722,9
1025,19.3,0.456939799,0.342892977,8
13059,1068.2,0.33508207,0.19971727,3
19039,21.9,0.035126817,0.326010825,4
28023,22.6,0.353947706,0.35023071,5
51043,82.4,0.07085313,0.379053914,2
41007,48,0.045468263,0.380670959,3
1027,22,0.14960452,0.35480226,8
5021,23.2,0.016097528,0.353270021,9
12019,357.5,0.165051464,0.295632937,8
13061,14.8,0.615171458,0.420852096,10
17025,28.3,0.016901834,0.348373953,10
18021,73.2,0.014482232,0.324875812,7
19041,28.4,0.02113549,0.356328251,6
20027,12.4,0.023258722,0.369888708,4
21051,42.8,0.044715245,0.286993285,9
27027,61.2,0.073629896,0.239949965,6
28025,47.3,0.596719282,0.326369545,6
29047,620.1,0.106131147,0.264952408,3
31035,10.9,0.024782749,0.357418732,5
37043,51.9,0.024508484,0.474548882,8
46027,34.1,0.089238658,0.212591696,4
47027,32.6,0.022677206,0.391602955,9
48077,9.6,0.029648049,0.3986228,7
54015,25.2,0.007298424,0.360634847,6
13063,2045.7,0.786337034,0.203563351,10
19043,22.5,0.015208476,0.40726817,4
8019,24.3,0.034877668,0.397709526,1
42033,69.4,0.03888497,0.356288104,3
27029,8.8,0.104880817,0.354256527,5
1029,26.8,0.038032962,0.329018483,9
5023,45.1,0.017905067,0.423953535,7
39025,454.5,0.033105234,0.308922157,4
5025,13.4,0.123347468,0.356073834,9
37045,210.3,0.224875826,0.326150853,9
40027,522.8,0.158231825,0.247932857,2
13065,8.3,0.287304452,0.285198556,10
17027,79.4,0.047424214,0.318074338,7
18023,79.6,0.017736434,0.298883721,8
19045,66.9,0.041661292,0.347800851,5
21053,51.7,0.016362924,0.33931021,9
26037,140.1,0.044383099,0.311627086,5
29049,48.9,0.02667318,0.329506595,6
36019,77.8,0.065914865,0.314815044,8
39027,102.9,0.032717502,0.31404998,6
42035,43.6,0.026186537,0.322872505,7
20029,12.2,0.031504181,0.355367167,6
28027,41,0.778504508,0.283321549,9
40029,10.7,0.211231884,0.348369565,9
13067,2229,0.351704729,0.244438572,3
4003,20.6,0.094375641,0.355628303,7
48079,3.7,0.080042313,0.291960508,10
47029,82.3,0.03264941,0.366159781,8
4005,7.7,0.316021952,0.239734274,3
46029,40.7,0.041763341,0.317151526,1
1031,76.5,0.214413685,0.294919956,8
13069,74.9,0.301858771,0.252430789,10
47031,129.8,0.055529623,0.307145422,6
20031,13.1,0.02927244,0.368031094,3
48081,3.7,0.036795252,0.413946588,10
1033,92.4,0.176417954,0.340728973,6
29051,195,0.143731444,0.297684775,2
48083,6.7,0.058830535,0.411932833,8
17029,100.1,0.056519603,0.300599391,5
31037,26.4,0.09999081,0.251079864,3
35007,3.2,0.049298101,0.433691164,6
45029,35.6,0.389219331,0.347610196,7
12021,189.4,0.097530173,0.456236393,5
48085,1194.9,0.274364122,0.221470314,1
48087,3.2,0.101620527,0.31735314,10
51570,2371.4,0.217293781,0.322716312,7
48089,22.1,0.147853137,0.369043691,9
13071,83.8,0.261251974,0.269499035,10
5027,30.7,0.377150869,0.29702171,8
12023,88.4,0.203353049,0.327404508,6
13073,531.9,0.235911362,0.255264403,3
36021,94.4,0.077391682,0.405000334,5
41009,79.7,0.038031961,0.341199381,4
42037,135.5,0.035978367,0.336042532,1
53013,4.7,0.059127864,0.435082533,3
55021,74.9,0.034293385,0.331235399,1
39029,193,0.031685579,0.361554571,4
37047,59.4,0.353265654,0.338657803,10
6011,18.8,0.065797383,0.263282009,9
48091,265.2,0.050137154,0.327775269,4
20033,2.2,0.023455378,0.397597254,3
40031,112.6,0.285587351,0.242090316,6
48093,14.4,0.03081129,0.378528151,9
48095,4.3,0.0505145,0.29232928,6
22029,28.1,0.407418761,0.309063969,8
1035,14.4,0.471369227,0.381119166,10
8021,6.4,0.061341463,0.331585366,8
6013,1606.6,0.298022544,0.289926666,4
56009,3.2,0.025,0.314002933,1
5029,37.8,0.129673065,0.342300512,8
13075,75.6,0.29221536,0.288427922,10
17031,5480.1,0.32811742,0.269687846,8
48097,46.4,0.060925716,0.327598955,6
29053,31.2,0.084587854,0.315457592,7
33007,17.6,0.020355187,0.408876508,2
41011,40.3,0.05434158,0.42132973,4
1037,16.5,0.318992067,0.411479235,8
28029,36.7,0.526013383,0.316294713,10
46031,1.7,0.667947179,0.228571429,10
36023,95.9,0.036258704,0.294586287,3
48099,71.1,0.225310127,0.191316437,6
39031,65,0.019738459,0.337928963,6
8023,3.1,0.092476489,0.448014629,9
48101,1.5,0.115910727,0.402447804,10
40033,9.1,0.132271468,0.350069252,9
27033,17.7,0.065176909,0.367828323,4
1039,35.9,0.138268534,0.359298113,8
28031,45.6,0.369490267,0.300058346,9
51580,998.2,0.152564103,0.364285714,8
13077,330.8,0.21314375,0.2672558,4
20035,31.3,0.0784542,0.313277301,5
53015,95.6,0.054345931,0.331388147,4
40035,18.8,0.258003635,0.33398574,6
51045,15.4,0.01007109,0.400473934,2
5031,153.5,0.181985667,0.248079368,4
48103,6.1,0.062578223,0.239883187,7
37049,145.2,0.258531561,0.317241915,7
5033,106.9,0.060010094,0.2990411,8
13079,37.9,0.227634356,0.354765384,9
17033,42.4,0.062955283,0.331791354,6
18025,34.5,0.01505967,0.357832923,7
19047,24,0.078039399,0.308019583,8
20037,66.2,0.058817499,0.269740383,4
26039,25,0.025609668,0.441766779,4
29055,32.3,0.017072254,0.349584673,8
39033,103.4,0.020697954,0.353983153,4
42039,84,0.029378226,0.355795117,6
55023,28.5,0.03474311,0.389356086,6
40037,75.4,0.142938942,0.3150243,7
1041,22.7,0.25354456,0.334780093,10
13081,82.9,0.465510376,0.323879474,10
5035,79.3,0.552935336,0.267179678,10
21055,24.8,0.017386427,0.355692653,8
47033,54,0.155360134,0.325446678,10
41013,8,0.030502367,0.40914233,5
56011,2.6,0.024697987,0.376644295,1
48107,6.4,0.055545942,0.315798581,10
5037,27.1,0.241844567,0.324418326,9
27035,64.9,0.024349273,0.377814422,1
8025,7.4,0.154489587,0.249402526,7
1043,113.6,0.028199228,0.321396898,7
51047,136.7,0.177095586,0.290807767,5
17035,31.2,0.014618801,0.352146558,7
21057,21.8,0.033037994,0.378585373,8
23005,351.5,0.058312355,0.331363245,1
34011,312.1,0.257319238,0.276124049,10
37051,509.5,0.449104805,0.225892938,10
42041,460.9,0.09489983,0.319028092,3
47035,87.6,0.018752199,0.460560052,4
51049,33,0.321439494,0.373228668,10
31039,15.7,0.018680089,0.359731544,2
37053,103.4,0.074911348,0.322768913,4
35009,35.2,0.116754657,0.229180573,4
41015,14,0.043352474,0.525533687,3
8027,6.7,0.032498991,0.553088413,3
16037,0.9,0.018457944,0.477336449,4
31041,4.2,0.014852399,0.369833948,2
40039,29.4,0.128840061,0.24869128,4
39035,2720.7,0.344254203,0.324696488,4
13083,93.3,0.030075188,0.337236534,5
27037,756.8,0.131356321,0.278449919,2
31043,76,0.14370363,0.253049843,7
1045,87.2,0.236927037,0.300065365,9
48111,4.8,0.060694444,0.216388889,9
1047,39.1,0.714617593,0.328321587,9
5039,10.8,0.42341966,0.387496519,8
19049,153.3,0.079152806,0.219461078,2
29059,31,0.016883427,0.359861592,8
48113,3027.5,0.316788562,0.216419008,7
